english_sentence,hindi_sentence
Add Bookmark...,पुस्तक-चिह्न जोड़ें... 
Title:,शीर्षकः
Application:,अनुप्रयोगः
Path:,पथः
Plugin Errors,प्लग-इन त्रुटियांviewport
View,दृश्य
No view,कोई दृश्य नहीं है
_ Single plugins view,एकल प्लग-इन दृश्य
Plugin View,प्लग-इन दृश्य
Plugin View (% d),प्लग-इन दृश्य (% d) 
_ New view...,नया दृश्य... 
New View...,नया दृश्य... 
_ File,फाइल (F) 
_ Edit,संपादित करेंmenu
_ Bookmarks,पसंद (_ B) menu
_ View,दृश्य _ (V) 
_ Help,मदद
(no description),(कोई विवरण नहीं) 
Accerciser could not see the applications on your desktop. You must enable desktop accessibility to fix this problem. Do you want to enable it now?,एक्सेरसाइसर आपके डेस्कटोप में मौजूद अनुप्रयोग नहीं देख पाया। इस समस्या के समाधान के लिए आपको डेस्कटोप पहुंचनीयता को सक्रिय करना होगा। क्या आप इसे सक्रिय करना चाहते हैं? 
Note: Changes only take effect after logout.,टिप्पणीः परिवर्तन सत्रांत (लोगआउट) के बाद ही प्रभाव में आएंगे। 
_ New view...,नया दृश्य... (_ N) 
Give your application an accessibility workout,अपने अनुप्रयोग को पहुंचनीयता व्यायाम का लाभ दें
Accerciser Accessibility Explorer,एक्सेर्साइसर पहुंचनीयता अन्वेषक
A list of plugins that are disabled by default,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है
A list of plugins that are disabled by default.,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है
Highlight duration,अवधि को हाइलाइट रकें
The duration of the highlight box when selecting accessible nodes.,पहुंचनीय आसंधि (नोड) को चुनते समय हाइलाइट बक्से की अवधि
Highlight fill color,भराई के रंग को हाइलाइट करें
The color and opacity of the highlight fill.,हाइलाइट किया गया भराई का रंग और पारदर्शिता। 
Highlight border color,सीमांत (बोर्डर) के रंग को हाइलाइट करें
The color and opacity of the highlight border.,हाइलाइट किए गए सीमांत का रंग और अपारदर्शिता। 
